ID,Class_Rank,GPA,Major,Psych_Courses,Study_Hours,Tv_hours,Summer_TV,graduate,Siblings,Grad_School,Expected_Grade,HS_GPA
1,3,2.98,1,6,4,4,7,2,1,1,7,3.35
2,1,3.15,1,1,5,25,35,2,4,1,8,3.61
3,1,3.43,1,1,10,7,7,1,1,1,9,3
4,1,4,1,1,20,3,10,2,0,1,10,3.5
5,4,3.2,2,4,7,7,5,1,3,1,10,3.8
6,2,1.76,1,3,11,20,8,2,1,1,8,3.75
7,1,1.56,1,1,10,8,14,1,2,1,9,3.5
8,3,3.27,1,10,10,2,6,2,4,1,10,2.91
9,4,3.5,1,10,14,7,14,2,1,1,9,3.19
10,1,4,1,2,30,7,12,1,0,1,9,3.51
11,3,3.29,2,5,25,5,15,1,3,1,7,3.75
12,1,3.15,1,2,2,1,5,2,4,1,9,4.13
13,4,3.5,1,1,5,2,10,1,0,1,8,4
14,2,2.83,1,4,10,8,20,2,2,1,6,3.73
15,2,3.4,1,2,5,1,2,1,2,1,9,3.2
16,2,2.18,1,2,6,30,25,2,2,2,7,3.58
17,1,3.2,1,1,3,1,20,2,1,1,8,3
18,1,2.35,1,1,10,35,49,1,2,1,6,3.38
19,2,2,1,2,6,8,12,2,3,1,7,3
20,1,3.75,1,2,10,10,20,1,4,1,10,3.35
21,1,3.67,1,1,10,3,15,2,1,1,10,3
22,2,3.17,2,2,12,35,20,2,2,1,9,3.75
23,4,3,1,10,20,7,10,2,3,1,10,3
24,2,3.5,1,2,4,5,8,1,1,1,7,3.7
25,2,3.11,2,1,6,2,4,2,2,1,10,3.75
26,3,2.6,1,2,7,15,7,1,5,1,8,3
27,4,2.8,1,2,15,5,4,1,3,1,10,2.9
28,3,3.53,1,6,7,15,15,2,2,1,9,3.5
29,1,3.58,1,1,3,0,5,1,2,1,10,2.65
30,1,2.67,1,1,10,0,1,1,1,1,10,3
31,1,3.22,1,1,6,1,1,2,2,1,10,3
32,1,4,1,1,3,4,10,1,1,1,8,4.13
33,1,3.4,1,1,8,12,3,1,3,1,8,3.45
34,4,2.8,2,0,3,4,4,2,3,2,6,2.8
35,2,2.45,1,1,6,14,20,1,7,1,9,2.96
36,3,3.05,1,3,20,5,15,1,1,1,10,2.7
37,2,3,1,2,2,4,4,2,2,1,10,3.25
38,2,3.45,1,3,2,2,4,1,6,1,8,3.56
39,3,3.2,1,6,5,4,6,1,2,1,10,3.4
