id,gsi,academic,personal
1150,1,1.7,1
1152,0.886792453,2.8,1.75
1153,0.622641509,1.9,0.625
1154,0.79245283,1.1,0.5
1156,1.622641509,2.6,1.875
1158,3.301886792,3.6,3.5
1159,1.113207547,0.9,2.625
1161,0.41509434,1.7,1.75
1162,1.981132075,2.7,3.375
1163,1.188679245,2.5,2.625
1166,1.056603774,2.3,1
1167,0.867924528,1.1,1.25
1168,2.037735849,2.1,3.25
1170,1.339622642,3.8,3.125
1173,1.188679245,1.8,1
1174,3.245283019,2.9,3.625
1176,2.339622642,2.5,2.875
1177,0.622641509,2,0.875
1178,0.641509434,0.6,1.625
1179,2.79245283,3.4,3.5
1185,0.037735849,0.5,0.375
1192,0.377358491,2.8,0.375
1193,2.471698113,3.5,3.375
1194,0.188679245,1.4,0.375
1195,1.75,0.7,1.625
1196,0.452830189,1.3,1.125
1198,0.811320755,1.5,2
1199,1.962264151,3,1.5
1202,1.830188679,2.9,1.75
1203,0.79245283,0.4,1.25
1205,1.20754717,1.9,1.125
1207,1.905660377,2,2
1209,1.452830189,2.4,2.5
1210,0.924528302,2.7,2
1211,2.471698113,1,2.125
1212,1.075471698,1.5,2.375
1213,0.615384615,1.4,1
1217,1.433962264,0.1,2.5
1221,0.377358491,2.3,0.625
1225,0.339622642,0.5,0.375
1226,3.20754717,2.9,2.25
1249,0.566037736,1.4,1.875
1251,0.886792453,2.7,1.75
1252,1.72,2.5,2.5
1253,2.254901961,1.7,2.625
1256,1.480769231,0.9,2
1257,1,0.4,1.875
1258,0.403846154,2.8,1.375
1263,2.5,3.3,2.5
1265,2.134615385,2,3.5
1366,1.320754717,0.7,2.5
1369,2.377358491,2.2,2.875
1370,1.735849057,1.7,2.375
1371,1.245283019,1.3,1.125
1372,0.716981132,1.9,0.75
1374,0.461538462,0.8,0.625
1375,1.113207547,1.3,2.25
1376,1.301886792,2.5,2
1381,2.301886792,2.3,2.5
1383,1.320754717,1.3,2
1385,0.79245283,3.1,1.25
1386,1.735849057,2.1,1.875
1388,0.452830189,0.8,2
1400,0.830188679,1.2,1.375
