week,nbpeople,prepost,exchange,numabces,numexcfo,NResidual_nbpeople_Model_1,NResidual_nbpeople_Model_1_A,NResidual_nbpeople_Model_1_B,NResidual_nbpeople_Model_1_C
1,40,0,2523,5,68,-1.34583923072405,-1.22622121054727,-1.00637573051999,-1.00637573051999
2,47,0,3679,13,92,5.62046089397333,5.74656074690244,5.97860271403255,5.97860271403255
3,35,0,2499,9,67,-6.20425878893305,-5.88401290890771,-5.73063515571712,-5.73063515571712
4,38,0,3313,6,78,-3.5047393325221,-4.46298756582188,-4.33988341836966,-4.33988341836966
5,49,0,2965,12,71,7.57038080337516,8.92982826926178,8.16042302106605,8.16042302106605
6,47,0,3345,10,70,5.84582130166512,6.54159442585076,7.89366691403829,7.89366691403829
7,40,0,3485,10,76,-1.20425878893305,-2.63841774185367,-1.91585601392586,-1.91585601392586
8,50,0,3615,10,87,8.62046089397333,7.62636141943765,6.47583147458196,6.47583147458196
9,42,0,2858,11,80,.87086134696421,1.16959648224801,.65786680721953,.65786680721953
10,53,0,4692,6,86,11.6705409845715,10.0772994025595,10.3498746212482,10.3498746212482
11,39,0,3352,4,75,-2.05401851713853,-2.16666186725093,-3.0888600699544,-3.0888600699544
12,44,0,2447,9,60,2.59542084867425,.438888400421769,.292667521845168,.292667521845168
13,49,0,4639,10,76,7.72062107516969,8.2573115702639,6.6669692667182,6.6669692667182
14,42,0,4015,9,93,.845821301665123,.371991203886788,1.04049967745766,1.04049967745766
15,48,0,4772,7,102,6.67054098457151,5.2722332728868,4.93177757828421,4.93177757828421
16,36,0,2972,11,66,-5.17921874363396,-5.25601085251046,-6.15078910415311,-6.15078910415311
17,47,0,4021,10,98,5.52030071277698,4.35994836090269,4.18709417902997,4.18709417902997
18,36,0,4058,8,74,-5.20425878893305,-4.1042774275984,-4.80849333091107,-4.80849333091107
19,46,0,4989,9,106,4.52030071277698,3.55488223123002,4.32676481262481,4.32676481262481
20,39,0,3532,10,83,-2.22929883423214,-1.1221472246503,-1.6962577236261,-1.6962577236261
21,36,0,3260,5,90,-5.40457915132575,-6.19657450728693,-5.33760167860291,-5.33760167860291
22,48,0,3998,12,94,6.52030071277698,7.11435319384865,6.40907735734204,6.40907735734204
23,44,0,3441,4,84,2.82078125636604,3.91359236945351,4.63703873836284,4.63703873836284
24,51,0,6159,9,103,9.72062107516969,8.50290673731794,9.47008406793266,9.47008406793266
25,42,0,4091,12,82,.895901392263298,.4077307979906,-.274408910703491,-.274408910703491
26,41,0,4392,7,83,-.32945901542849,-2.11763446776786,-2.47824247703482,-2.47824247703482
27,45,0,4370,9,90,3.64550093927242,3.6189005681262,2.23286923793867,2.23286923793867
28,36,0,3561,10,79,-5.25433887953123,-5.11468637333885,-4.98596518401515,-4.98596518401515
29,47,0,5493,8,91,5.52030071277698,4.94474997188468,4.9579010296644,4.9579010296644
30,54,0,4632,9,112,12.7957412110669,13.8957225724016,13.6588369720566,13.6588369720566
31,39,0,2591,16,79,-2.02897847183944,-3.12346142183567,-1.88949430069862,-1.88949430069862
32,53,0,4767,14,118,11.5954208486742,9.24395453009444,8.30877365590622,8.30877365590622
33,39,0,3260,11,77,-2.05401851713853,-1.58186025626895,-3.09693705759941,-3.09693705759941
34,40,0,3085,6,78,-1.40457915132575,-3.56111159957823,-3.24000217518717,-3.24000217518717
35,36,0,3645,9,77,-5.37953910602667,-4.81416761794372,-6.50719537476549,-6.50719537476549
36,37,0,3173,6,68,-4.47969928722302,-4.08058067647868,-3.70549529672626,-3.70549529672626
37,51,0,3594,8,104,9.54534075807607,10.7170246018825,11.0023092066268,11.0023092066268
38,33,0,2100,8,47,-8.1040986077367,-7.2277321097181,-5.97001750521625,-5.97001750521625
39,51,0,2665,7,111,9.44518057687972,7.72153735876499,8.22032445321811,8.22032445321811
40,44,0,2572,3,80,2.8959013922633,4.55200337159121,3.51337109058349,3.51337109058349
41,55,0,3042,9,100,13.7206210751697,11.918105126336,13.3223842879218,13.3223842879218
42,35,0,1928,5,62,-6.00393842654035,-6.52079001380178,-7.56757457218747,-7.56757457218747
43,51,0,2755,5,108,9.4952606674779,6.97754147155949,6.39692928973068,6.39692928973068
44,58,0,3048,5,102,16.8959013922633,18.1621356309366,16.4802439646409,16.4802439646409
45,33,0,1634,7,64,-7.92881829064309,-9.83171771493736,-8.3795930021971,-8.3795930021971
46,38,0,2202,11,76,-3.55481942312028,-6.64299973352631,-8.39562048758091,-8.39562048758091
47,21,0,1405,4,67,-20.4296191966248,-18.6803039900836,-21.1431013678297,-21.1431013678297
48,50,0,2532,6,84,8.14470003329067,9.04124010839739,9.98606795896429,9.98606795896429
49,28,0,1845,7,58,-13.1291386530358,-9.12665998153275,-8.04495175834673,-8.04495175834673
50,32,0,2308,10,67,-9.68001964961572,-11.1728777561672,-8.29994303848278,-8.29994303848278
51,34,0,2383,5,63,-7.57985946841937,-4.81285342075836,-6.13308405051054,-6.13308405051054
52,32,0,2206,8,65,-9.52977937782119,-7.55684930796386,-5.43895295197722,-5.43895295197722
53,38,0,2630,8,69,-3.57985946841937,-1.98245664272233,-.559162398661643,-.559162398661643
54,45,0,2514,4,76,3.57038080337516,5.51462988024376,6.80055108357113,6.80055108357113
