"","id","neweth","q1a","q1b","q1c","q2af","q2acf","q2bf","q2bcf","q2cf","q2ccf","q3a","q3b","q3c","q4a","q4b","q4c","q5af","q5acf","q5bf","q5bcf","q5cf","q5ccf","q6a","q6b","q6c","length","pt2_a","pt2_b","pt2_c","pt2_d","pt2_e","pt2_f","pt2_g","pt2_h","pt3_1","pt3_2","pt3_3","pt3_4","pt3_5","pt3_6","pt3_7","pt3_8","pt3_9","pt3_10","pt3_11","pt3_12","pt4_a","pt4_b","pt4_c","pt4_d","pt4_e","pt4_f","pt5_a","pt5_b","pt5_c","pt5_d","pt5_e","pt5_f","pt5_g","pt5_h","pt5_i","pt5_j","pt5_k","pt5_l","p6_1","p6_2","p6_3","p6_4","p6_5","p6_6","p6_7","p6_8","p6_9","p6_10","p6_11","p6_12","pt7_a","pt7_b","pt7_c","pt7_d","pt7_e","pt7_f","pt7_g","pt7_h","pt7_i","pt7_j","pt7_k","pt7_l","pt7_m","pt7_n","pt8_1","pt8_2","pt8_3","pt8_4","pt8_5","pt8_6","pt8_7","pt8_8","pt8_9","pt8_10","pt8_11","pt8_12","pt8_13","pt8_14","pt8_15","pt8_16","pt8_17","pt8_18","pt8_19","pt8_20","pt8_21","pt8_22","pt8_23","pt8_24","pt9_a","pt9_b","pt9_c","pt9_d","pt9_e","pt9_f","pt9_g","pt9_h","pt9_i","pt9_j","pt9_k","pt9_l","pt10_wb","pr10_wg","pt10_wp","pr10_wh","pt10_wn","pt10_ab","pr10_ag","pt10_ap","pr10_ah","pt10_an","pt11_a","pt11_b","pt11_c","pt11_d","pt11_e","pt11_f","pt11_g","pt11_h","pt11_i","pt11_j","pt11_k","pt11_l","pt11_LR","pt11_m","pq12_a","pq12_b","pq12_c","pq12_d","pq12_e","pq12_f","pq12_g","pq12_g2","pq12_h","pq12_h2","last24mj","weeklymj","filter_$","st_a","st_b","st_c","st_d","st_e","st_f","st_g","st_h","st_i","st_j","st_k","st_l","D_ASIS","racemiss","eth_id","qual_p1","qual_p2","qual_p3","qxq1","qxq2","qxq3","negc_p1","negc_p2","negc_p3","pt4_dr","pt4_fr","pt1","pt2","pt3","p3_1r","p3_3r","p3_6r","p3_10r","p3_11r","p3_12r","anx1","anx2","anx3","p6_1r","p6_3r","p6_5r","p6_7r","p6_9r","p6_11r","negatt1","negatt2","negatt3","ster1","ster2","ster3","realth1","realth2","realth3","symbth1","symbth2","symbth3","pt11_ar","pt11_cr","missing","st_ar","st_er","st_gr","st_fr"
"1",101,1,10,3,4,50,12,10,0,10,2,10,3,4,10,2,3,40,10,8,1,0,0,10,3,1,12,7,10,10,10,10,10,5,2,7,3,7,3,3,6,1,1,3,8,7,8,3,0,0,8,5,5,6,2,2,7,5,7,5,2,2,5,2,7,0,6,0,6,0,6,0,7,0,3,1,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,5,1,1,0,1,1,1,2,0,9,2,0,2,3,8,8,0,1,1,2,2,2,2,3,3,3,1,2,2,3,3,2,6,6,3,5,7,6,2,7,7,6,7,2,9,1,42,2,3,3,2,3,24,6,NA,0,0,1,54,4,0,14,15,56,40,0,2,5,4,14,-0.244702659779003,0,19,17,20,20,51,40,60,1,0,0,1,4,3,1,9,2,2,3,1,2,1,10,8,7,9,9,9,9,9,8,30,31,29,18,58,22,2,0,0,6,3,4,7,3,0,0,36,6,4
"2",102,1,10,10,10,10,3,5,1,1,1,10,10,10,10,1,4,15,4,0,0,3,1,10,1,5,14,6,6,10,7,8,5,9,7,7,5,5,5,2,5,3,1,5,7,9,7,5,3,5,7,2,2,6,3,8,7,2,8,6,3,2,8,8,9,2,6,2,5,5,6,5,6,0,7,3,7,4,6,3,5,6,2,2,6,4,2,0,0,0,6,1,1,4,0,0,1,0,0,1,1,1,1,8,0,3,6,3,9,5,3,1,0,5,0,9,0,5,6,5,7,7,0,0,3,4,3,2,3,3,4,3,2,4,3,4,4,7,6,5,5,7,7,9,2,8,8,7,5,4,5,1,20,3,3,2,2,5,72,6,NA,0,0,1,54,0,40,42,10,56,42,0,0,24,32,27,-0.354684597378437,0,17,12,17,13,120,17,13,24,16,6,2,7,8,7,9,2,4,4,2,0,2,16,10,9,7,7,4,4,9,6,25,20,29,82,56,91,6,1,4,17,20,6,2,4,0,0,36,10,6
"3",103,6,10,3,0,10,4,1,0,3,0,5,3,0,10,3,5,50,3,10,1,10,0,10,1,5,16,5,10,10,5,10,10,8,2,4,6,5,5,5,6,0,0,0,7,8,8,0,0,0,2,8,6,7,2,3,4,3,3,9,1,1,2,6,3,0,0,0,9,0,0,0,4,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,2,0,0,0,3,7,1,0,0,7,0,0,0,0,5,2,9,3,3,5,5,7,5,0,0,3,5,4,4,4,4,4,4,4,4,4,4,4,3,7,8,5,8,8,0,0,0,7,2,4,5,9,6,19,2,3,1,2,5,168,1,3,1,1,1,63,6,9,20,15,21,45,0,0,6,30,12,-0.762150607407032,0,19,15,15,20,45,45,20,0,0,0,7,3,0,7,11,5,4,3,2,1,1,20,8,4,9,9,9,9,9,9,27,22,25,35,21,72,5,0,2,11,7,7,6,1,0,0,32,8,16
"4",104,1,10,10,10,25,10,5,0,2,0,10,7,7,10,5,7,30,10,3,0,7,2,10,4,6,15,5,10,10,5,7,9,0,7,2,7,3,7,6,4,4,4,6,3,4,5,3,0,0,3,1,9,9,1,6,4,5,9,8,2,3,4,7,7,3,3,0,6,0,5,0,7,2,7,1,1,3,5,2,6,6,4,4,5,3,5,0,4,0,4,0,0,6,0,0,0,0,0,3,0,0,0,6,0,2,8,0,7,0,0,2,7,8,6,9,0,4,6,5,5,7,0,2,6,4,6,3,4,4,4,4,4,4,5,4,4,0,9,0,8,7,9,9,4,9,9,9,7,2,9,1,26,2,1,1,1,5,288,6,NA,0,0,1,81,0,24,24,25,45,56,0,6,24,28,42,0.127331370858073,0,35,15,15,16,150,75,64,22,21,8,6,0,3,6,1,7,6,5,6,5,4,27,19,21,6,9,9,9,7,8,24,30,23,48,51,98,6,0,3,16,7,23,9,9,0,0,24,6,8
"5",105,1,10,9,10,30,15,5,0,5,5,10,6,6,10,5,7,30,15,6,1,10,5,10,6,6,6,2,9,8,2,10,10,1,2,8,5,5,3,3,7,2,1,3,8,9,7,5,2,5,3,6,5,9,1,2,1,7,5,8,1,1,2,1,1,0,8,0,8,1,8,0,8,0,9,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,7,0,1,0,0,0,1,2,0,8,3,0,2,5,6,9,0,0,0,5,5,4,4,4,4,4,3,4,4,4,4,9,0,9,0,2,7,7,2,7,7,5,2,7,9,1,20,1,1,5,2,4,72,5,1440,0,0,1,72,3,0,2,35,30,72,0,0,0,5,5,-0.174347171250204,0,0,11,10,20,99,50,120,0,0,0,6,4,7,11,10,1,4,2,1,0,2,13,8,6,9,9,8,9,9,9,34,33,36,5,30,15,0,0,0,10,1,3,0,0,0,2,16,0,18
"6",106,1,10,5,3,7,3,1,0,0,0,10,5,3,10,7,6,7,3,1,1,2,0,10,4,3,24,6,10,5,8,8,8,5,5,7,3,7,3,3,7,3,1,1,8,8,7,6,2,4,5,5,6,9,2,2,7,8,9,9,2,3,2,9,2,1,8,1,7,2,7,6,6,2,7,1,9,5,5,5,6,6,7,7,7,6,2,2,6,6,6,4,5,3,5,2,1,1,1,2,1,1,1,5,8,1,7,1,7,5,1,5,8,5,6,9,0,0,2,8,6,9,0,0,1,2,0,2,2,2,2,2,1,2,2,3,3,6,6,4,6,7,6,7,6,6,6,6,4,5,9,1,21,3,3,4,2,6,NA,6,NA,0,0,1,81,0,0,14,64,54,81,0,0,2,18,0,-0.046961450641569,0,20,16,13,16,80,91,64,27,29,20,4,3,8,8,8,2,2,2,1,1,2,10,9,5,8,8,7,3,7,8,31,23,31,14,54,36,17,5,5,21,14,24,3,5,0,0,3,0,6
"7",107,-1,10,8,10,25,6,4,0,10,0,10,8,10,10,10,10,50,10,4,1,10,5,10,10,10,120,7,10,10,8,8,6,6,8,7,5,8,3,3,8,2,2,2,7,7,8,7,2,2,2,6,2,6,3,3,2,4,5,3,1,2,1,1,2,1,6,2,7,5,5,3,6,1,6,2,6,4,4,3,6,5,1,2,3,4,6,3,3,0,2,0,0,3,3,0,0,0,0,1,1,1,0,3,6,6,4,1,5,3,0,1,1,0,1,9,2,7,6,8,3,9,0,0,5,5,3,2,2,2,2,2,3,3,3,3,3,3,8,3,9,4,4,7,5,8,9,9,9,0,9,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,54,6,21,12,32,15,27,0,0,5,5,6,-0.562814993556778,1,29,17,18,14,136,180,140,22,16,8,7,7,9,9,13,2,1,1,2,2,1,11,8,7,8,7,4,6,8,7,28,21,27,39,15,16,6,0,3,19,9,3,6,6,0,0,7,0,36
"8",108,1,10,8,9,20,5,5,2,10,3,10,6,8,10,3,6,20,10,1,0,4,1,10,1,5,36,6,10,10,6,9,10,2,6,8,2,8,1,0,7,0,0,1,7,7,6,4,3,2,6,4,6,8,4,8,8,3,8,7,2,2,2,7,7,1,5,1,5,5,6,1,6,0,5,2,6,0,1,0,1,1,0,0,0,0,0,0,0,0,3,0,0,2,0,0,0,0,0,1,0,1,0,3,8,0,4,0,6,1,1,1,2,6,0,9,3,2,4,6,5,7,1,1,4,5,3,4,5,4,4,5,3,4,4,4,4,8,3,8,5,3,6,7,3,5,6,6,6,3,8,1,20,2,1,5,2,4,48,2,14,1,1,1,72,12,16,32,18,40,49,2,2,8,35,21,0.157220776058987,0,10,16,16,19,128,48,19,3,0,3,3,3,7,5,7,1,1,2,2,2,3,5,2,8,8,8,4,8,9,7,26,24,27,60,44,91,2,0,2,15,8,9,1,1,0,0,24,8,12
"9",109,1,6,2,3,4,6,3,4,6,3,8,5,5,7,4,4,12,7,6,3,7,2,8,5,5,5,4,5,5,3,6,7,3,6,5,4,5,5,4,5,5,4,4,5,5,5,4,3,5,5,4,4,5,4,3,3,8,8,7,2,3,2,10,6,5,6,3,6,5,5,4,5,5,6,5,5,4,5,4,5,5,6,5,7,6,5,5,7,5,5,4,3,3,4,3,4,4,3,4,3,3,3,5,3,3,3,3,6,3,4,4,4,4,3,7,2,3,2,4,5,5,3,2,2,4,4,4,4,4,4,4,3,5,4,4,4,6,5,5,5,5,5,5,4,6,6,5,6,3,5,1,23,2,3,1,2,5,96,6,NA,0,0,1,35,8,9,6,32,40,35,6,6,4,40,24,-0.491764694627808,0,17,9,8,13,18,32,65,23,29,22,4,5,7,9,9,4,4,4,4,4,4,17,17,16,4,6,4,5,4,4,22,19,19,23,52,104,14,14,13,14,16,15,3,4,0,12,15,16,12
"10",110,1,10,5,5,15,5,1,0,0,0,10,7,6,10,6,6,20,5,0,0,1,0,10,6,6,48,1,3,8,2,5,7,4,2,3,7,2,6,5,5,4,5,5,5,5,5,2,1,1,2,1,7,10,1,2,3,2,8,8,2,3,8,7,6,2,5,1,8,2,5,2,8,1,6,1,5,1,2,0,0,2,1,0,2,1,1,0,0,0,2,1,1,1,1,1,1,1,0,1,1,0,0,3,1,1,3,1,3,1,1,1,2,1,1,9,0,1,0,3,4,8,0,0,3,2,3,3,4,3,4,3,3,4,4,3,4,3,3,3,4,5,5,5,3,6,9,5,5,4,5,1,37,2,1,1,2,2,24,3,24,1,1,1,90,0,2,0,6,32,64,0,0,24,14,18,0.100514075081879,0,19,4,10,12,20,60,72,5,5,2,7,2,3,8,3,6,7,4,4,4,4,26,18,17,7,8,7,7,8,8,28,27,27,2,32,46,4,3,2,8,6,5,6,6,0,0,54,3,15
